comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1872026903	riki****	빨갱이들 많구나 조국이 3위라니 정말 미.친.개들 많네  그냥 공처가로 살아 공과사도 구분 못하는 사회주의세리가 어디서 자유민주주의국가에서 설쳐 거지같은것들	2019-10-01T18:14:40+0900	4	1
1872020183	cold****	저는 조국님을 신으로 모시기로 하였습니다 죄가 있어도 없어지는 능력 3만명을 2백만명으로 늘리는 기적 남들이 머래도 차기 대선 지지율 3위의 놀라움을 가져다 주는 그분은 신입니다	2019-10-01T18:09:00+0900	4	0
1872009663	yrl1****	정직하게 살아온 내가 대통령 나가야겠다.	2019-10-01T18:00:27+0900	2	1
1872006063	sub3****	피의의자 조국이 법무부장관 되고 대선 주자3위. 조국지자는 뭔생각을 하는지	2019-10-01T17:57:57+0900	1	0
1872002383	avri****	역대 사기꾼이 왠 대선주자	2019-10-01T17:55:19+0900	5	0
1872001363	only****	아니 장관만하고 말겠다는 사람 왜 후보로 올리셔?  선동꾼들아.	2019-10-01T17:54:28+0900	0	0
1872001163	ds48****	가짜 지지율을 언론질해서 퍼트리고 문빠충들에게 차기대통령을 지키라는 명분을 만들어 주는거군 ㅋㅋㅋㅋㅋㅋ 하여간 잔머리는 존나게 굴려요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	2019-10-01T17:54:20+0900	3	1
1871998043	khs0****	조국은 될수가없다  이총리 당신도  똑바로 정직하게 하세요  왔다갔다하지말고	2019-10-01T17:52:03+0900	2	1
1871994473	4610****	한겨례 리얼미터 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웃다갑니다	2019-10-01T17:49:42+0900	3	0
1871987703	yy96****	그만들 싸워라 초딩들아  3일 촛불집회때  답나온다	2019-10-01T17:45:22+0900	2	1
1871985343	rive****	좆국 ㅅㄲ 쓰레기 가족	2019-10-01T17:43:57+0900	4	2
1871984783	kjon****	조국은 곧 구속되니깐 ..   압수수색하는 검사에게  조국이 전화한다는것은 공과 사를 구분 못하네  지는 모르지  그검사는 얼마나 당황스럽겠나 조국은 국민에게 사죄해야 한다  문죄인은 조국을 짤라 내라   여당은 조국을 감싸지만 말고 조국 버려라  바보같은 국민도 다 안다  조국은 거짓말 쟁이	2019-10-01T17:43:34+0900	2	0
1871982953	thsd****	조국씨, 이제 그만합시다. 당신은  상식이하입니다. 미꾸라지 한 마리가  온 나라를  들쑤시면 안됩니다.	2019-10-01T17:42:28+0900	8	1
1871982383	luna****	한겨레입니다ㅡㅡㅡㅡㅡ 근데몇옃 좃국교도들 정말어쩌다 그리 되셨어요?? 진심 진심 궁금합니다 위선왕 좃국과낙화암에서도 같이 떨어져 주시고 싶으시죠?? 님들이 검찰의 노예란표현 자주 쓰던데 님들이 바로 ((((문재인과))))좃국의 노예들 같아요 좃국의위정질에도 놀아나는 개돼지들 붕어 가재들 처럼	2019-10-01T17:42:10+0900	0	0
1871977303	csj1****	3위가?	2019-10-01T17:39:18+0900	0	0
1871976283	lsch****	거짓말잘하면 대통령 됩니까	2019-10-01T17:38:49+0900	6	0
1871973343	tmdr****	ㅋㅋㅋㅋ 황교안에서 웃고간다 . ㅋㅋㅋㅋㅋㅋㅋㅋ 하 ㅋㅋㅋㅋㅋㅋㅋ 우리나라 정치는 점점 산으로 가넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	2019-10-01T17:37:20+0900	2	2
1871970043	kiss****	이낙연 그리안봤는데  기회주의자란걸. 스스로  알려주다니!	2019-10-01T17:35:43+0900	1	0
1871967323	mcpk****	리얼미터를 아직까지 믿는 흑우들 없제?	2019-10-01T17:34:17+0900	2	0
1871966743	luna****	아직도 드러난게없으니죄가없다 하는달창들많네 ㅡ문재앙의협박  사시노패스 좃국이가꼴에 법무부장관이라고 갑질  묵시적명시적헙박질  갑질질 피의자사실공표하지말라 특수부폐지하라 이 지랄에 민주당은 민노과 전교조 전라도 가족들 관광버스로 총동윈관제데모 그리고 니들같은 교도들때문 수사방해받는거아니냐    정경심이는  갑자기아픈척 병실한층 다빌리고 양심없는 돈의개변호사 열네명 돈으로처발라 수임하곤 sns에 연기질 선동변명질 에  출석요구계속거부하고 본질을흐리지마라 니들같은 젓국교도 달창들의 낮은지능아니면 속지않는다ㅡ	2019-10-01T17:33:57+0900	2	1
1871960653	mcpk****	리얼미터를 믿냐?ㅋㅋ	2019-10-01T17:30:49+0900	1	0
1871950413	arch****	ㅆㄹ기들	2019-10-01T17:24:22+0900	0	0
1871948383	kimm****	4위 조두순 5위 고유정 6위는? ? ?	2019-10-01T17:23:08+0900	2	0
1871930743	khs4****	니네들보단 안철수 반기문이 백배 천배 났다	2019-10-01T17:12:34+0900	3	1
